Name,Holocene Volcanoes
Algeria,3
Antartica ,19
Argentina,35
Armenia,5
Australia,4
Azerbaijan,2
Bolivia,10
Myanmar,1
Cameroon,3
Canada,24
Cape Verde,2
Chad,4
Chile,91
China,10
Colombia,14
Comoros,2
Costa Rica,10
Djibouti,4
Dominica,5
Democratic Republic of the Congo,4
Ecuador,35
El Salvador,20
Equatorial Guinea,3
Eritrea,8
Ethiopia,53
Fiji,3
France,19
Georgia,2
Germany,1
Greece,5
Grenada,2
Guatemala,23
Honduras,3
Iceland,35
India,2
Indonesia,121
Iran,6
Italy,13
Japan,122
Jordan,1
Kenya,21
Madagascar,5
Mexico,37
Mongolia,3
Netherlands,2
New Zealand,24
Nicaragua,17
Niger,1
North Korea,2
Norway,2
Panama,2
Papua New Guinea,46
Peru,17
Philippines,38
Portugal,13
Russian Federation,117
Rwanda,3
Saint Kitts and Nevis,2
Saint Lucia,1
Saint Vincent and the Grenadines,1
Samoa,2
Saudi Arabia,8
Solomon Islands,8
South Africa,2
South Korea,3
Spain,8
Sudan,4
Syria,1
Taiwan,2
United Republic of Tanzania,6
Tonga,21
Turkey,10
Uganda,7
U.K. of Great Britain and Northern Ireland,13
United States of America,162
Vanuatu,14
Vietnam,2
Yemen,11